Index,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25
TIMM8B,3.207934,3.186334,3.182132,3.145491,3.299076,3.181419,3.178632,3.242128,3.182709,3.195931,3.138698,3.143002,3.195995,3.177338,3.164801,3.186334,3.242589,3.159371,3.279154,3.166686,3.168349,3.175007,3.217298,3.170074,3.140292
MVD,5.495525,5.473568,5.493784,5.492009,5.334116,5.955315,5.20369,5.378289,5.328505,5.608494,5.844136,5.727582,5.908601,5.765354,5.294935,5.484503,5.814435,6.294168,6.198689,5.817975,5.876426,6.089437,5.824652,5.980207,5.75452
PMS1,3.184011,3.234638,3.220648,3.200156,3.210454,3.243233,3.183609,3.220926,3.176984,3.227754,3.211034,3.233739,3.185112,3.211255,3.173782,3.214533,3.172457,3.197578,3.211034,3.212613,3.210732,3.221292,3.242229,3.229378,3.180785
ASIC2,3.607549,3.642823,3.569955,3.55835,3.554086,3.689198,3.53672,3.52159,3.51904,3.634203,3.578128,3.590937,3.501008,3.651279,3.546143,3.751245,3.642093,3.659961,3.709081,3.620556,3.653191,3.517786,3.661059,4.086562,3.703146
COG6,4.178149,4.154222,4.170765,4.049695,4.012825,4.259999,4.191624,4.038683,3.921413,3.947291,4.032428,4.140195,4.009243,4.101157,4.120422,4.415398,4.060729,4.138907,4.18424,4.16238,4.179815,4.0648,4.102654,4.12507,4.15991
PYROXD1,4.480411,4.58505,4.518221,4.348322,4.308907,4.501422,4.333983,4.345113,4.536408,4.321338,4.302006,4.393514,4.272196,4.444728,4.484256,4.460034,4.522902,4.514097,4.408315,4.440641,4.448568,4.473806,4.505291,4.497112,4.375912
GAPDHS,4.59973,4.514899,4.571387,4.743318,4.677005,4.629856,4.601421,4.539791,4.979546,4.625985,4.643535,4.746288,4.760676,4.622005,4.800255,4.187776,4.586313,4.264407,4.622539,4.564297,4.383235,4.681376,4.776217,4.485168,4.760075
CNNM4,3.37751,4.282012,3.355773,5.966297,4.572987,4.859824,3.332925,3.505027,3.410522,3.316052,3.367527,3.33867,3.345751,3.351192,3.327353,3.402452,3.353732,3.375865,3.331236,3.32233,3.358265,3.366421,3.350316,3.352533,3.335412
TP73,3.640753,3.574998,3.818212,3.589832,3.544968,3.612592,3.706433,3.581846,3.6413,3.651773,3.622344,3.829307,3.837439,3.711169,3.614962,3.836643,3.796794,3.671299,3.761459,3.688424,3.665266,3.80366,3.747466,4.22697,3.889736
PPIB,4.074502,4.082177,4.098236,4.076414,4.015314,4.034468,4.0804,4.068311,3.981729,4.002566,4.073573,4.123066,4.02473,4.085654,4.044765,4.14394,4.12946,4.08844,4.129437,4.096089,4.136746,4.071506,4.115255,4.035818,4.033144
