,ind002,ind003,ind005,ind006,ind011,ind012,ind017,ind024,ind027,ind028,ind030,ind032,ind033,ind036,ind037,ind039,ind040,ind041,ind042,ind043,ind044,ind048,ind050,ind053,ind056,ind058,ind062,ind065,ind066,ind067,ind068,ind069,ind080,ind084,ind085,ind093,ind094,ind095,ind096,ind097,ind098,ind099,ind100
CHAC1,5.07649572,5.119456561,6.172396425,5.330403134,4.717271137,4.749599448,6.406702978,5.760438653,5.538460857,6.671350304,6.135509018,6.222261159,5.916594339,6.879258013,5.712399795,5.802176105,6.491686892,6.666378301,4.889466062,4.953785078,5.403112523,7.306782206,4.385474882,4.914231437,5.116085809,5.078228447,5.419134378,5.942986725,6.258036616,5.390129585,5.32755458,6.217229586,4.680844439,6.029832065,5.6761451,5.104670806,4.632744213,4.761897695,4.997697463,4.940133827,5.05886173,5.556791318,4.569511491
TRAF3IP2,9.926347359,9.611357755,9.399096659,10.00872341,9.73606008,9.972729638,9.444132209,9.605358965,9.793607675,9.791883011,10.11358406,9.948359895,9.932421463,9.585903969,9.622328198,9.694275995,10.15762221,9.850355397,9.959588363,9.864650487,10.13804435,9.874483185,9.893347497,9.882624113,10.26659649,9.710671936,10.10636556,9.912184931,10.42090934,10.27678953,9.9979068,10.01006374,9.770885092,9.680237958,9.611357755,10.21796196,9.938527661,9.686385966,9.839193026,9.934703786,9.94972714,9.931431179,10.15108646
EDN1,7.911151584,8.887610127,8.429110197,6.706212095,8.516684358,8.698758563,7.743656323,8.774059273,7.28151541,7.479922847,7.651542346,8.026831937,7.75669239,8.472985576,8.504486431,7.364365434,7.617591106,8.877102521,9.470360296,9.179581065,8.647690839,8.583846985,8.602989921,8.618692278,7.749169184,7.731867327,7.686690883,9.076018709,7.084002668,9.476946374,8.550123006,7.901800815,7.918858329,7.958709438,7.68950534,8.8320062,9.15349689,6.804570337,8.856204207,6.831135397,9.064883035,7.546080842,8.467273174
CD81,13.17841157,13.23752409,12.730708,12.8513613,13.08056196,13.03929137,12.36132002,12.99829482,12.87747109,12.59330666,12.90050166,13.08488889,12.60904728,12.87747109,12.56704993,12.72732697,12.88895195,12.79915585,12.92357971,13.30867851,13.26035801,12.67159032,12.50840823,12.93089243,11.72415643,12.75541659,13.06805387,12.86592526,12.77725181,12.74091913,13.05598894,13.05203798,11.96540124,12.60904728,12.68202504,13.26504855,13.36706938,13.31347245,13.15973216,12.65835479,13.08056196,12.88112083,12.78091931
PLA2G2A,6.39589596,8.503468025,5.344239751,5.798748105,9.169971307,5.013147732,6.342570496,6.989492823,6.154062572,7.617591106,5.406389237,6.407648754,5.344239751,5.553411686,5.134156059,7.433671528,6.071603893,5.49597687,5.664790523,7.562182345,5.875218293,5.723249212,7.424670261,5.958506733,6.753542993,7.436367982,5.708618371,5.677876679,5.08864531,6.26150174,5.594380503,7.492072097,6.429358608,5.921038893,5.886742027,6.597953485,6.062073672,6.048660813,6.47576294,6.915583882,6.468393891,7.152619949,7.543217862
GDPD2,5.715431089,5.310095754,5.607057696,6.59124511,7.06849786,5.654006369,5.955530181,5.719607416,5.798937234,6.416551694,5.552367802,5.617079233,5.856484356,5.597342112,5.990847986,6.263276342,6.369710141,6.829158184,7.200278005,5.540445585,6.4189238,5.709673453,6.802492004,6.476326285,7.829945079,6.420184858,5.726761658,6.529832298,5.977358189,6.377670192,6.421613117,6.063008674,7.501113533,6.615876001,6.210856747,5.686671226,5.647460249,6.350316415,5.64553614,5.943975855,5.717955551,5.334385768,7.655942115
LTA,5.961281437,6.030311269,6.186857645,5.792396455,6.107067458,6.4665755,5.914574621,6.177986821,6.275824111,5.81981391,6.369301458,6.53139327,6.362223195,6.001125953,5.735041509,5.729560456,5.566469987,5.425498945,6.023685893,6.719710103,6.046604111,5.42835355,5.507611146,5.785530838,5.639149665,6.171862272,6.604370608,5.753043466,6.042220379,5.664941244,5.621818098,6.925818019,5.939108884,6.301049277,5.670602602,5.803587749,6.175582188,5.435652934,6.755756785,5.903976775,6.508858625,5.465122925,5.634505665
ALPP,10.22863573,10.16721147,10.33964458,9.723925088,9.979298715,10.20817492,10.33472664,10.90080853,10.5749189,10.67359517,10.19915342,9.898937827,10.10562993,10.95513051,10.34536245,10.15108646,10.48799874,10.18429401,10.55930242,10.3331227,10.58595932,9.896455058,9.659065683,10.27360204,9.513384926,10.84287088,10.1329556,10.39120041,10.11428251,9.635527508,10.10934218,10.12493663,10.94233766,10.11994778,9.746993335,10.46448434,10.86585856,10.34045022,10.57025763,10.34852993,10.77682833,10.0127323,10.53091459
PLXNC1,5.604460411,5.566314,5.189083523,5.516674424,5.259244296,5.679382143,5.585001181,5.715470359,5.773648981,5.574423663,5.344074684,5.713213565,5.729531932,5.144635774,5.49132162,5.721175787,5.836098993,6.696368969,5.454375569,5.806137993,5.498203703,6.298570896,5.768996985,5.632400354,5.684598715,5.595596349,6.121112862,5.716051139,5.760770979,6.256897399,5.795764331,5.843692632,5.871524271,5.441112074,5.774903208,6.229399262,5.573606769,5.666120942,5.571820193,5.710035666,5.526590602,5.653202208,5.515876935
GAS1,7.147583743,6.908735664,7.014465213,6.959360996,7.061139204,6.733549027,6.285846562,7.05472068,7.437868092,7.079957902,6.622160372,7.117307854,6.129271479,6.248703995,6.429607738,7.239103624,6.323248387,6.710199786,6.23649278,6.444477465,6.809932697,6.090667951,6.312315655,7.045748142,5.607281423,6.224522966,6.898962271,6.436201774,5.682407414,6.635837016,6.425991417,6.35531373,5.704858934,6.056004149,7.24707799,7.009374256,8.028835354,8.457382658,7.407898986,6.977209505,7.440947696,6.580836987,7.055219206
